iter	Passed	Remaining
409	4537	6529
410	4545	6514
411	4554	6500
412	4574	6501
413	4595	6504
414	4613	6502
415	4623	6490
416	4631	6474
417	4639	6459
418	4650	6448
419	4663	6439
420	4672	6426
421	4680	6411
422	4691	6398
423	4699	6383
424	4707	6369
425	4719	6359
426	4727	6344
427	4736	6330
428	4745	6316
429	4755	6303
430	4763	6289
431	4772	6274
432	4780	6259
433	4790	6247
434	4802	6237
435	4811	6223
436	4819	6209
437	4827	6194
438	4836	6181
439	4845	6167
440	4854	6153
441	4864	6141
442	4874	6128
443	4882	6114
444	4891	6100
445	4899	6086
446	4908	6072
447	4916	6058
448	4926	6045
449	4934	6031
450	4943	6017
451	4953	6005
452	4966	5996
453	4975	5983
454	4983	5969
455	4992	5955
456	5000	5941
457	5009	5928
458	5022	5919
459	5031	5906
460	5040	5892
461	5048	5879
462	5057	5865
463	5065	5851
464	5072	5836
465	5081	5822
466	5089	5808
467	5098	5795
468	5111	5787
469	5120	5774
470	5128	5759
471	5136	5745
472	5144	5732
473	5153	5718
474	5161	5704
475	5168	5690
476	5177	5676
477	5188	5665
478	5197	5653
479	5223	5658
480	5232	5645
481	5239	5631
482	5248	5617
483	5257	5604
484	5266	5591
485	5276	5580
486	5285	5567
487	5294	5555
488	5303	5542
489	5310	5527
490	5318	5513
491	5326	5499
492	5335	5486
493	5357	5487
494	5371	5480
495	5387	5474
496	5401	5466
497	5410	5454
498	5420	5442
499	5430	5430
500	5438	5417
501	5449	5405
502	5464	5399
503	5475	5388
504	5483	5374
505	5492	5362
506	5502	5350
507	5511	5337
508	5519	5324
509	5527	5311
510	5535	5297
511	5543	5283
512	5552	5270
513	5560	5257
514	5568	5244
515	5577	5232
516	5589	5221
517	5598	5209
518	5606	5195
519	5616	5184
520	5625	5172
521	5634	5159
522	5643	5147
523	5651	5133
524	5660	5121
525	5670	5109
526	5678	5096
527	5688	5085
528	5698	5073
529	5707	5061
530	5717	5050
531	5729	5039
532	5737	5026
533	5745	5013
534	5752	5000
535	5759	4985
536	5767	4972
537	5774	4959
538	5781	4944
539	5788	4931
540	5795	4917
541	5803	4903
542	5810	4890
543	5817	4876
544	5824	4862
545	5831	4849
546	5838	4835
547	5846	4822
548	5853	4808
549	5859	4793
550	5867	4781
551	5874	4767
552	5881	4754
553	5888	4740
554	5897	4728
555	5906	4716
556	5916	4705
557	5925	4693
558	5935	4682
559	5945	4671
560	5957	4661
561	5969	4652
562	5979	4641
563	5989	4629
564	6000	4619
565	6009	4607
566	6018	4596
567	6026	4583
568	6034	4571
569	6042	4558
570	6051	4546
571	6058	4533
572	6065	4519
573	6071	4506
574	6078	4492
575	6085	4479
576	6092	4466
577	6099	4453
578	6106	4439
579	6112	4426
580	6119	4412
581	6125	4399
582	6132	4386
583	6139	4373
584	6145	4359
585	6151	4346
586	6158	4332
587	6165	4319
